"pestcode","pestdesc"
"YRODA  ","COLLAR ROT - PHYTOPHTHORA CACTORUM"
"YROG   ","BARN ROT"
"YROHB  ","HEART ROT - PHYTOPHTHORA CINNAMOMI"
"YRONT  ","PINK ROT ON POTATO"
"YROT7  ","ROOT ROT - FUSARIUM MONILIFORME"
"YROTJ  ","STEM END ROT - PHOMOPSIS CITRI"
"YROW1  ","WHITE ROT"
"YRU1   ","RUST - UROMYCES SPP."
"YRUPP  ","RUST - PUCCINIA PELARGONII-ZONALIS"
"YRUSD  ","MINT RUST ON BORONIA"
"YRUSD1 ","RUST ON BORONIA"
"YSHOL  ","SHOT HOLE"
"YSKLC  ","CERCOSPORA LEAF SPECKLE"
"YSMUL3 ","LOOSE SMUT (USTILAGO SPP.) - SUPPRESSION"
"YSPB3  ","BACTERIAL SPOT - XANTHOMONAS VESICATORIA"
"YSPBC  ","BACTERIAL SPOT ON CAPSICUM"
"YSPBM  ","BACTERIAL SPOT/BLOTCH ON MUSHROOM"
"YSPCS  ","GREY LEAF SPOT - CERCOSPORA CLADOSPORIOD"
"YSPCZ  ","CERCOSPORA ZEBRINA"
"YSPLP  ","PAPERY LEAF SPOT"
"YSPLR  ","LEAF SPOT RUST"
"YSPO8  ","CLADOSPORIUM ON ROCKMELON"
"YSPOE  ","BLACK SPOT OR SPECKLED BLOTCH ON CITRUS"
"YSPOJ2 ","CORDANA LEAF SPOT - CORDANA MUSAE"
"YSPON  ","BLACK SPOT ON ROSE"
"YSPOP  ","SPRING DEAD SPOT"
"YSPOQ  ","CURVULARIA LEAF SPOT"
"ZFUMX  ","FUMITORY - SEEDLING"
"ZGALS  ","CLEAVERS - SUPPRESSION"
"ZGLY   ","GLYCERIA - SUPPRESSION"
"ZGRW   ","RIPPLEWORT"
"ZHEA1  ","FAT HEN - PRE EMERGENCE"
"ZHEL1  ","SUNFLOWER"
"ZHEL2  ","VOLUNTEER SUNFLOWER"
"ZHELT  ","HELIOTROPE - HELIOTROPIUM SPP."
"ZHYP1  ","TANGLED HYPERCIUM"
"ZHYPR1 ","CAT'S EAR OR FLATWEED - SUPPRESSION"
"ZIPO5  ","IPOMOEA VINES - PRE EMERGENCE"
"ZIPOP3 ","BELLVINE - SUPPRESSION"
"ZIPOQ1 ","CUPID'S FLOWER - PRE EMERGENCE"
"ZIPOU1 ","COMMON MORNING GLORY - PRE EMERGENCE"
"ZJUN2  ","RUSH - SUPPRESSION"
"ZJUNX  ","TOAD RUSH - SEEDLING"
"ZLANL  ","LANTANA SPP."
"ZLANM  ","LANTANA - LANTANA MONTEVIDENSIS"
"ZLEP   ","PEPPERCRESS"
"ZLEUM  ","LEUCAS"
"ZLOL3  ","ANNUAL RYEGRASS - PRE EMERGENCE"
"ZLOLMI ","ANNUAL RYEGRASS - MIXED INFESTATION"
"ZLUDP1 ","LUDWIGIA PERUVIANA"
"ZMACC  ","COCKSPUR THORN"
"ZMAL   ","MALLOW"
"ZMALPS ","MARSHMALLOW - SUPPRESSION"
"ZMARX  ","HOREHOUND - SEEDLING"
"ZMATL1 ","NIGHT-SCENTED STOCK - SUPPRESSION"
"ZMEBR  ","BLACK TEATREE"
"ZMEDA  ","SPOTTED MEDIC"
"ZMES2  ","ICEPLANT - SUPPRESSION"
"ZMES3  ","ICEPLANT - SUPPRESSION"
"ZMIM   ","SENSITIVE PLANT"
"ZMIMP  ","COMMON SENSITIVE PLANT"
"ZMP1   ","PENNYROYAL - SUPPRESSION"
"ZMYAP  ","MUSKWEED"
"ZOPUI  ","DEVIL'S ROPE OR CHAIN LINK CACTUS"
"ZOPUV  ","SMOOTH TREE OR DROOPING PRICKLY PEAR"
"ZOXAC  ","CREEPING OXALIS"
"ZPANA  ","GIANT PANIC"
"ZPANX  ","GUINEA GRASS - SEEDLING"
"ZPAPLH ","LONGHEAD POPPY"
"ZPASP1 ","PASPALIDIUM SPP."
"ZPASUX ","VASEY GRASS - SEEDLING"
"ZPASV  ","SOURGRASS - SEEDLING"
"ZPASZ  ","STINKING PASSION FLOWER - SEEDLING"
"ZPENC2 ","KIKUYU GRASS - ESTABLISHED"
"ZPENX  ","KIKUYU GRASS - SEEDLING"
"ZPER   ","PERSICARIA"
"ZPERW  ","PERENNIAL WEED"
"ZPHV   ","WILD GOOSEBERRY"
"ZPHY6  ","ANNUAL GROUND CHERRY"
"ZPHYD  ","BELLA SOMBRA"
"ZPICX  ","SOLDIER THISTLE - SEEDLING"
"ZPLAX  ","PLANTAIN - SEEDLING"
"ZPOAP1 ","KENTUCKY BLUEGRASS - ESTABLISHED"
"ZPOL2  ","WIREWEED, HOGWEED - SUPPRESSION"
"ZPOLP  ","POLYMERIA"
"ZRANS  ","ANNUAL BUTTERCUP"
"ZRAP7  ","RADISH - SUPPRESSION"
"ZRAPQ  ","WILD RADISH - SEED"
"ZRAPR  ","WILD RADISH OR RADISH WEED"
"ZRIC1  ","WHITE EYE - SEED"
"ZRUB   ","BLACKBERRY - RUBUS SPP."
"ZRUBF  ","BLACKBERRY"
"ZRUM3  ","SORREL - SUPPRESSION"
"ZRUMO  ","BROADLEAF DOCK"
"ZSAL2  ","MINTWEED - SUPPRESSION"
"ZSC    ","SUGAR CANE - SEE LABEL"
"ZSCHP  ","CURIOUS WEED"
"ZSCLB  ","GALVANISED BURR"
"ZSDLG  ","SEEDLING GRASSES"
"ZSENA  ","PUNTY BUSH"
"ZSENP  ","AFRICAN DAISY"
"ZSET   ","PIGEON GRASS"
"ZSETP  ","PALE PIGEON GRASS"
"ZSETQ  ","PIGEON GRASS - SEED"
"ZSETW  ","WHORLED PIGEON GRASS"
"ZSHEA  ","FIELD MADDER"
"ZSINA  ","CHARLOCK"
"ZSIS2  ","WILD MUSTARD - SEED"
"ZSISOS ","WILD MUSTARD - SUPPRESSION"
"ZSISV  ","MUSTARD - SEEDLING"
"ZSOL5  ","NIGHTSHADE (S. SARRACHOIDES)-SUPPRESSION"
"ZSOLN9 ","BLACKBERRY NIGHTSHADE - <9 LEAF STAGE"
"ZSOLT  ","DEVIL'S-FIG"
"ZSON3  ","COMMON SOWTHISTLE - PRE EMERGENCE"
"ZSON4  ","COMMON SOWTHISTLE"
"ZSONX  ","SOW OR MILK THISTLE - SEEDLING"
"ZSOR4  ","SORGHUM - SEE LABEL FOR EXCEPTIONS"
"ZSOR5  ","VOLUNTEER SORGHUM - SORGHUM HALEPENSE"
"ZSORH1 ","JOHNSON GRASS - ESTABLISHED"
"ZSPOC  ","YAKKA OR FAIRY GRASS"
"ZSPOU  ","SUPPRESSION OF PARRAMATTA GRASS"
"ZSQ1   ","COTTON FIREWEED"
"ZSTAA  ","STAGGER WEED"
"ZSTE2  ","CHICKWEED - PRE EMERGENCE"
"ZSTEX  ","CHICKWEED - SEEDLING"
"ZTAGM  ","STINKING ROGER"
"ZTCC   ","COTTON THISTLE"
"ZTECS  ","YELLOW BELLS"
"ZTHU   ","THUNBERGIA"
"ZTRI3  ","VOLUNTEER WHEAT"
"ZTRIR  ","WHITE CLOVER"
"ZTRIT  ","CALTROP OR YELLOW VINE"
"ZTRIZ  ","CALTROP OR YELLOW VINE - SEED"
"ZTYP   ","CUMBUNGI"
"ZTYP1  ","CUMBUNGI - SUPPRESSION"
"ZUROP  ","LIVERSEED OR UROCHLOA GRASS"
"ZUROQ  ","LIVERSEED GRASS - SEED"
"ZURTL1 ","LESSER NETTLE - SEEDLING"
"ZVEREX ","CROWNBEARD - SEEDLING"
"ZVERP  ","CREEPING SPEEDWELL"
"ZVERS  ","SPEEDWELL - SUPPRESSION"
"ZVICV  ","CONVOLVULUS VINES"
"ZVIN   ","VINES"
"ZVIN1  ","VINES - REFER TO LABEL"
"ZWATB  ","WILD WATSONIA"
"ZWEE4  ","WEEDS CONTROLLED BY ROUNDUP"
"ZWEEB1 ","BROADLEAF WEEDS - SEE LABEL EXCEPTIONS"
"ZWEEBD ","DESICCATE BROADLEAF WEEDS"
"ZWEEH  ","HERBACEOUS WEED"
"ZWEES  ","WEED SEED - SEE LABEL"
"ZWEEU  ","PERENNIAL GRASS WEED - SEEDLING"
"ZWG    ","BROADLEAF WEEDS AND GRASSES - SEE LABEL"
"ZWGA   ","ANNUAL BROADLEAF WEEDS & GRASSES-SEE LAB"
"ZWLD   ","WILD OAT - SUPPRESSION"
"ZWOR   ","WILD ORANGE"
"ZWPOS  ","GENERAL WEED - POST-CROP EMERGENCE"
"ZWSH   ","DESTROY SEED HEAD - SPRAY TOP/GRAZE"
"ZWSU   ","SUBMERGED WEEDS"
"ZXAN   ","BURR"
"YSPOY  ","PEPPERY LEAF SPOT"
"YSPSO  ","OLIVE LEAF SPOT OR PEACOCK SPOT"
"YSRP   ","PEPPER SCORCH OR SPOT"
"YVIRT  ","TOBACCO YELLOW DWARF VIRUS"
"ZABEF  ","NATIVE ROSELLA"
"ZABLP  ","BLACK PIGWEED - SEEDLING"
"ZABUF  ","BUFFEL GRASS - SEEDLING"
"ZACA4  ","SHARK TOOTH WATTLE"
"ZACA5  ","PRETTY WATTLE"
"ZACA7  ","CURRACABAH"
"ZACAE  ","IRONWOOD"
"ZACAF  ","MIMOSA BUSH"
"ZACAR  ","SILVER WATTLE - SUPPRESSION"
"ZACAW  ","WATTLE - EXCEPT CORKWOOD WATTLE"
"ZAESI  ","BUDDA OR BUTTER PEA"
"ZAGEH1 ","BLUE BILLYGOAT WEED - SUPPRESSION"
"ZAGR   ","BENT GRASS - AGROSTIS SPP."
"ZAGRC1 ","BENT GRASS - SUPPRESSION"
"ZAGRX  ","BENT GRASS - SEEDLING"
"ZALG4  ","BLANKETWEED"
"ZALGI  ","ALGAE INHIBITOR"
"ZALGK  ","PINK ALGAE"
"ZALIL1 ","WATER PLANTAIN - SEEDLING"
"ZALLT  ","ANGLED ONION"
"ZAMA6  ","REDSHANK - PRINCE OF WALES FEATHER"
"ZAMA9  ","REDSHANK AMARANTH - PRE EMERGENCE"
"ZAMAW  ","PRINCE OF WALES FEATHER"
"ZANAR  ","NATIVE ROSELLA - SEEDLING"
"ZANN1  ","ANNUAL BROADLEAF WEED SEEDLINGS"
"ZANNW1 ","ANNUAL WEEDS - SEE LABEL"
"ZARG   ","MEXICAN POPPY"
"ZASCC  ","REDHEAD OR MILKY COTTON BUSH"
"ZAXO   ","CARPET GRASS"
"ZB     ","SCRUB BOONAREE"
"ZBACH1 ","GROUNDSEL BUSH - SUPPRESSION"
"ZBIDP1 ","COBBLER'S PEGS - SUPPRESSION"
"ZBIDX  ","COBBLER'S PEGS - SEEDLING"
"ZBRAH  ","HUMIDICOLA"
"ZBRAJ  ","INDIAN OR CHINESE MUSTARD"
"ZBRAM1 ","PARA GRASS - SUPPRESSION"
"ZBRAR1 ","CANOLA - BRASSICA NAPUS"
"ZBRO2  ","BROME GRASS - PRE EMERGENCE"
"ZBROH  ","SOFT BROME - BROMUS HORDEACEUS"
"ZBROR  ","SMOOTH BROME"
"ZCAED  ","WAIT-A-WHILE"
"ZCAL3  ","MOUNTAIN SORREL - PRE EMERGENT"
"ZCAP2  ","SHEPHERD'S PURSE - PRE EMERGENCE"
"ZCAPQ  ","SHEPHERD'S PURSE - SEED"
"ZCAPX  ","SHEPHERD'S PURSE - SEEDLING"
"ZCARW  ","SLENDER OR SHORE THISTLE - SEEDLING"
"ZCAS   ","CASUARINA OR SHEOAK"
"ZCAW   ","CARROT WEED"
"ZCEN   ","SPINY BURRGRASS OR GENTLE ANNIE"
"ZCEN3  ","STAR THISTLE - SEEDLING"
"ZCENN  ","BLACK KNAPWEED"
"ZCHAR  ","STONEWORT - CHARA SPP."
"ZCHEA2 ","FAT HEN - POST EMERGENCE"
"ZCHEE  ","DWARF CRUMBWEED"
"ZCHEH  ","KEELED GOOSEFOOT"
"ZCINX  ","CAMPHOR LAUREL - SEEDLING"
"ZCIT   ","MELON"
"ZCLE   ","CLEOME"
"ZCLEA  ","SPINY SPIDER FLOWER"
"ZCONC  ","CANADIAN FLEABANE"
"ZCONX  ","HARE'S-EAR OR TREACLE MUSTARD - SEEDLING"
"ZCORD  ","LESSER SWINECRESS OR BITTERCRESS"
"ZCOTT  ","FUNNEL WEED"
"ZCRA2  ","HAWTHORN - LESS THAN 2 M TALL"
"ZCRAM  ","HAWTHORN"
"ZCUSA  ","GOLDEN DODDER - CUSCUTA AUSTRALIS"
"ZCYLCC ","PHYLA WEED"
"ZCYND2 ","COUCH GRASS - SUPPRESSION"
"ZCYNN  ","AFRICAN STAR GRASS"
"ZCYNY1 ","COUCH"
"ZCYPI  ","CYPERUS IRIA"
"ZDATS  ","COMMON THORNAPPLE"
"ZDIP1  ","WILD TEASEL"
"ZDIPF  ","BROWN BEETLE OR SILVER TOP GRASS"
"ZDIPM  ","DOGWEED"
"ZECH3  ","BARNYARD GRASS - SEEDLING"
"ZECHP  ","PATERSON'S CURSE"
"ZECHY  ","BARNYARD OR WATER GRASS - SEEDLING"
"ZEFIB  ","BROADLEAF IRONBARK"
"ZELEQ  ","CROWSFOOT GRASS - SEED"
"ZERA2  ","MEXICAN LOVEGRASS"
"ZERAC1 ","AFRICAN LOVEGRASS - SUPPRESSION"
"ZERAY  ","STINK GRASS - SEEDLING"
"ZERES  ","DOVEWEED"
"ZERO3  ","STORKSBILL - SUPPRESSION"
"ZEROB  ","LONG STORKSBILL, CORKSCREW"
"ZEUC3  ","WHITE MAHOGANY"
"ZEUCD  ","DAWSON GUM"
"ZEUCO  ","NARROWLEAF IRONBARK"
"ZEUPP  ","PETTY SPURGE"
"ZFUMD1 ","DENSEFLOWER FUMITORY"
"ZGALT  ","THREE-HORNED BEDSTRAW"
"ZGBRO3 ","BROME GRASS - BROMUS UNIOLOIDES"
"ZGEN   ","FLAX LEAF BROOM"
"ZGGR   ","GIANT RATS TAIL GRASS - S PYRAMIDALIS"
"ZGLAF  ","HORNED POPPY"
"ZGOS1  ","VOLUNTEER COTTON - SEEDLINGS"
"ZHIBQ  ","BLADDER KETMIA - SEED"
"ZHIRI  ","BUCHAN WEED"
"ZHOR   ","BARLEY GRASSES"
"ZHYPC  ","KNOBWEED"
"ZIPO1  ","WEIR VINE"
"ZIPO2  ","IPOMOEA VINES"
"ZJKW   ","HICKORY WATTLE"
"ZLAM2  ","DEADNETTLE - PRE EMERGENCE"
"ZLEPF  ","RED SPRANGLETOP GRASS"
"ZLEPS  ","GARDEN CRESS"
"ZLIV   ","LIVERWORT"
"ZLOLQ  ","RYEGRASS - SEED"
"ZLUDP  ","WATER PRIMROSE"
"ZLYSH  ","PEGUNNY"
"ZLYTH  ","HYSSOP LOOSESTRIFE"
"ZMACL  ","PHASEY BEAN"
"ZMALQ  ","SMALLFLOWER MALLOW - SEED"
"ZMARS  ","HOREHOUND - SUPPRESSION"
"ZMED1  ","PADDYS LUCERNE"
"ZMEDP  ","BURR MEDIC"
"ZMEL   ","PAPERBARK"
"ZMEL4  ","HEXHAM SCENT - PRE EMERGENT"
"ZMESC  ","COMMON ICEPLANT"
"ZMMC   ","EASTERN COTTON BUSH"
"YROOB  ","BLACK ROOT OR ROT"
"YROOC  ","CLUB ROOT"
"YRORR  ","ROOT ROT - RHIZOCTONIA SOLANI"
"YROSE  ","SCLEROTINIA ROT"
"YROSH1 ","COLLAR ROT - PHYTOPHTHORA CITROPHTHORA"
"YROSK  ","CORM GLADIOLUS ROT - SEPTORIA GLADIOLI"
"YROSN  ","NECK LEAF BLIGHT ROT OF ALLIUM"
"YROSR  ","STEM ROT - RHIZOCTONIA SOLANI"
"YROT   ","THIELAVIOPSIS SPP."
"YROT5  ","POTATO SEED PIECE DECAY"
"YROTB2 ","TRANSIT ROT - RHIZOPUS STOLONIFER"
"YROTC  ","COLLAR,TRUNK OR STEM ROT - PHYTOPHTHORA"
"YROTSP ","SOFT ROT IN WOODEN POLE"
"YROTX  ","SCLEROTINIA DROPCOLLAR ROT OF LETTUCE"
"YROTY  ","SEED DECAY"
"YRPC   ","CROWN RUST (PUCCINIA CORONATA) ON OATS"
"YRS1   ","RHIZOCTONIA SOLANI"
"YRS2   ","RHIZOCTONIA"
"YRUSL2 ","LEAF RUST - PUCCINIA HORDEI"
"YSAF   ","ALTERNARIA FRUIT SPOT - APPLE"
"YSCOR  ","LEAF SCORCH"
"YSHOE  ","SHOT HOLE"
"YSL    ","SLIME"
"YSMUC3 ","COVERED SMUT - U. SEGETUM VAR. HORDEI"
"YSMUD  ","LEAF SMUT ON POPPY"
"YSMUK  ","KERNEL SMUT"
"YSMUL  ","LOOSE SMUT - USTILAGO AVENAE"
"YSMUL4 ","BARLEY LOOSE SMUT - USTILAGO NUDA VAR HO"
"YSPA   ","ALGAL SPOT"
"YSPAA1 ","APPLE SCAB"
"YSPAC  ","ALTERNARIA SPOT"
"YSPAR  ","APPLE REPLANT DISEASE"
"YSPB4  ","BACTERIAL SPOT"
"YSPB6  ","SEPTORIA TRITICI BLOTCH"
"YSPBT  ","BACTERIAL SPOT ON TOMATO"
"YSPEB  ","LEAF SPECKLE ON BANANA"
"YSPLC  ","ALTERNARIA LEAF SPOT - A. CUCUMERINA"
"YSPOA  ","ANGULAR LEAF SPOT ON CUCURBIT"
"YSPOK  ","BLACK SPOT - COLLETOTRICHUM SPP."
"YSPOM  ","COPPER SPOT"
"YSPOW  ","LEAF SPOT OR YELLOW SIGATOKA ON BANANA"
"YSPPP1 ","PEAR SCAB"
"YSPS1  ","SEPTORIA SPOT ON CARNATION"
"YSPSL  ","SEPTORIA SPOT ON LETTUCE"
"YSRC   ","SCLEROTINIA ROOT OF CRUCIFERS"
"YSU    ","SCURF"
"YTAKE  ","TAKE-ALL OF WHEAT"
"YWILF  ","FUSARIUM CROWN ROT OR WILT"
"YWOOR  ","WOOD ROT"
"YYEA   ","YEAST"
"YYELF  ","FUSARIUM YELLOWS"
"ZACA10 ","ACACIA LEIOCALYX (WATTLE)"
"ZACAL  ","WATTLE"
"ZACAP  ","KANGAROO THORN"
"ZACAT  ","SUNSHINE ACACIA"
"ZAGBG  ","SOIL SURFACE BROMEGRASS - SUPPRESSION"
"ZAGEA  ","CROFTON WEED"
"ZAGER  ","MISTFLOWER OR CREEPING CROFTON WEED"
"ZAGEX  ","BILLYGOAT WEED - SEEDLING"
"ZALGB  ","BLUE-GREEN ALGAE - PHORMIDIUM SPP."
"ZALGP  ","ALGAE - PLANKTONIC (SUSPENDED)"
"ZAMA2  ","AMARANTH - SUPPRESSION"
"ZAMA4  ","REDSHANK (A. CRUENTUS) - SEED"
"ZAMA7  ","AMARANTHUS - PRE EMERGENCE"
"ZAMAL  ","MALVASTRUM - SEEDLING"
"ZAMAN1 ","BOGGABRI WEED - SUPPRESSION"
"ZAMAS  ","NEEDLE BURR"
"ZAMAZ  ","POWELL'S AMARANTH - SEEDLING"
"ZAMBA  ","ANNUAL OR COMMON RAGWEED"
"ZAMUB  ","MUNGBEAN - SEEDLING"
"ZANGP  ","ROUGHBARK APPLE"
"ZANNS  ","ANNUAL BROADLEAF WEED"
"ZAPIL  ","SLENDER CELERY"
"ZARIS  ","WIRE GRASSES"
"ZASMC  ","SMOOTH CUCUMBER - SEEDLING"
"ZASPE  ","SPEEDY WEED - SEEDLING"
"ZAVESF ","SOIL SURFACE WILD OATS"
"ZAVOB  ","VOLUNTEER BARLEY - SEEDLING"
"ZAVOW  ","VOLUNTEER WHEAT - SEEDLING"
"ZAZOF  ","RED AZOLLA"
"ZBAN   ","BANKSIA"
"ZBIFTS ","BIFORA - SEEDLING"
"ZBLUE  ","BLUE TOP - AGERATUM/HELIOTROPIUM SPP."
"ZBOR1  ","SQUARE WEED OR BORRERIA- <9 LEAF STAGE"
"ZBOTM2 ","RED-LEG GRASS - SUPPRESSION"
"ZBRA0  ","WILD TURNIP - PRE EMERGENCE"
"ZBRAP  ","WILD TURNIP - BRASSICA SPP."
"ZBRAR4 ","CANOLA - NON-TOLERANT PLANTS"
"ZBRAS  ","WILD TURNIP - SUPPRESSION"
"ZBRAT  ","WILD OR MEDITERRANEAN TURNIP"
"ZBRIM  ","SHIVERY OR LESSER QUAKING GRASS"
"ZBROM  ","MADRID OR LESSER BROME"
"ZBUGA  ","CORN GROMWELL, IRONWEED OR SHEEPWEED"
"ZCABW  ","WILD CABBAGE"
"ZCALM  ","CALOPO"
"ZCALQ  ","WHITE BOTTLEBRUSH"
"ZCALV  ","WEEPING RED BOTTLEBRUSH"
"ZCALX  ","MOUNTAIN SORREL - SEEDLING"
"ZCAR   ","SEDGE OR ANNUAL SEDGE"
"ZCAR3  ","SHEEP, SHORE OR WINGED SLENDER THISTLE"
"ZCAR5  ","SHEEP, SHORE OR WINGED SLENDER THISTLE"
"ZCAR6  ","SLENDER OR SHORE THISTLE - SUPPRESSION"
"ZCARD  ","HOARY CRESS OR WHITEWEED"
"ZCARS  ","SAFFRON THISTLE - SUPPRESSION"
"ZCASO2 ","SICKLE POD - <9 LEAF STAGE"
"ZCASS  ","DOG WOOD"
"ZCEN1  ","STAR THISTLE"
"ZCENL1 ","INNOCENT WEED - SEEDLING"
"ZCENP1 ","CENTRO - SEEDLING"
"ZCENX  ","SPINY BURRGRASS OR GENTLE ANNIE SEEDLING"
"ZCHAR1 ","CHARA SPP."
"ZCHE   ","GOOSEFOOT"
"ZCHE3  ","GOOSEFOOT - SUPPRESSION"
"ZCHEA  ","FAT HEN"
"ZCHEN  ","NETTLE LEAF GOOSEFOOT"
"ZCHEQ  ","FAT HEN - SEED"
"ZCHRS  ","BITOU BUSH/BONESEED - SUPPRESSION"
"ZCICA  ","VOLUNTEER CHICKPEA"
"ZCIR1  ","SPEAR THISTLE - SUPPRESSION"
"ZWPCE  ","GENERAL WEED - PRE-CROP EMERGENCE"
"ZWTE   ","WHEAT"
"ZXANS  ","BATHURST BURR"
"ZXCC   ","CALIFORNIA COCKLEBURR"
"ZZGSS  ","GRASS - SEED SET"
"ZZIZM  ","CHINEE APPLE"
"YROTU  ","BLACK ROOT ROT"
"YROTW  ","SCLEROTINIA WILT OR STEM ROT"
"YRUB   ","RUST - UROMYCES BETAE"
"YRUP   ","PUCCINIA RUST"
"YRUPI  ","RUST - PUCCINIA IRIDIS"
"YRUS1  ","RUST - URANYCES VICIAE-FABAE"
"YRUSA  ","RUST ON PEANUT"
"YRUSO  ","STONE FRUIT RUST"
"YSB    ","BACTERIAL SPORE"
"YSCAB  ","SCAB"
"YSCOC  ","CLOVER LEAF SCORCH"
"YSCR   ","SCLEROTINIA ROT ON PEANUT"
"YSIB   ","BLACK SIGATOKA"
"YSMUA  ","SMUT - USTILAGO AVENAE"
"YSMUC2 ","COVERED SMUT - U. SEGETUM VAR. SEGETUM"
"YSMUSH ","SMUT - USTILAGO SEGETUM VAR HORDEI"
"YSPA1  ","ALGAL LEAF SPOT"
"YSPBB  ","BACTERIAL BROWN SPOT"
"YSPBV  ","BLACK SPOT - VENTURIA SPP."
"YSPEA  ","BLACK SPOT ON GRAPES - ELSINOE AMPELINA"
"YSPH   ","HUSK SPOT - CERCOSEPTORIA SPP."
"YSPO3  ","EYE SPOT ON STRAWBERRY"
"YSPOJ1 ","CORDANA LEAF SPOT - CORDANA JOHNSTONII"
"YSPOU  ","PYTHIUM SPP."
"YSPR   ","RING SPOT"
"YWF    ","WILDFIRE"
"ZAANS  ","ANNUAL SALTBUSH - SEEDLING"
"ZACAB  ","CORKWOOD WATTLE"
"ZACAMX ","BLACKWOOD"
"ZACOW  ","COWVINE - SEEDLING"
"ZACRR  ","CREEPING/RUSSIAN KNAPWEED,HARDHEAD"
"ZAGEC  ","BILLYGOAT WEED OR BLUE TOP"
"ZAGEC1 ","BILLYGOAT WEED OR BLUE TOP - <9 LEAF"
"ZALG2  ","DIATOM - CYCLOTELLA STELLIGERA"
"ZALGA  ","BLACK ALGAE"
"ZALGE  ","BROWN ALGAE"
"ZALGFA ","PROTOZOA - FLAGELLATE ALGAE"
"ZALI1  ","ALISMA SEEDLING"
"ZALO   ","FOXTAIL"
"ZALPE  ","RED ASH"
"ZAMA1  ","BOGGABRI WEED - SEEDLING"
"ZAMA8  ","POWELL'S AMARANTH - PRE EMERGENCE"
"ZAMAR1 ","REDROOT AMARANTH - SUPPRESSION"
"ZAMAR3 ","REDROOT AMARANTH - SEEDLING"
"ZAMAT  ","REDSHANK OR SLIM AMARANTH - SEED"
"ZAMAV  ","GREEN AMARANTH"
"ZAMS1  ","AMSINCKIA (AMSINCKIA SPP.) - SEED"
"ZAMSEED","BURRGRASS SEED"
"ZANA   ","PIMPERNELS"
"ZANAS  ","SCARLET PIMPERNEL - SUPPRESSION"
"ZANG1  ","ANGOPHORA - REGROWTH"
"ZANGO  ","SMOOTHBARK APPLE"
"ZANNN  ","ANNUAL GRASS "
"ZANOC  ","ANODA WEED"
"ZANTC  ","STINKING MAYWEED OR FOETID CHAMOMILE"
"ZAPAR  ","PARADOXA GRASS - SEEDLING"
"ZAPAT  ","PARTHENIUM WEED - SEEDLING"
"ZARG1  ","MEXICAN POPPY - SUPPRESSION"
"ZAVE   ","WILD OAT"
"ZAVE2  ","WILD OR BLACK OAT - 2-5 LEAF STAGE"
"ZAVEX  ","WILD OR BLACK OAT - SEEDLING"
"ZAXO1  ","CARPET GRASS - SUPPRESSION"
"ZBIN   ","BINDY-EYE"
"ZBRA   ","ARMGRASS"
"ZBRA9  ","TWIGGY TURNIP - SUPPRESSION"
"ZBRAB9 ","VOLUNTEER CANOLA-TRIAZINE TOLERANT "
"ZBRAD  ","FALSE BROME"
"ZBRAR2 ","VOLUNTEER CANOLA - SEE LABEL FOR EXCEPT"
"ZBRAR3 ","CANOLA - BRASSICA CAMPESTRIS"
"ZBRAR61","VOLUNTEER CANOLA - SUPPRESSION"
"ZBRAZ  ","WILD TURNIP - SEEDLING"
"ZBROB  ","RED BROME"
"ZBUG1  ","CORN GROMWELL - SUPPRESSION"
"ZBUG2  ","CORN GROMWELL - PRE EMERGENCE"
"ZCAPB  ","SHEPHERD'S PURSE"
"ZCAR1  ","VOLUNTEER SAFFLOWER"
"ZCAR4  ","WARD'S WEED"
"ZCARLB ","SAFFRON THISTLE - UP TO BUD STAGE"
"ZCARO  ","CURRANT BUSH"
"ZCARV  ","WARD'S WEED - SEEDLING"
"ZCENE1 ","MOSSMAN RIVER GRASS / SPINY BURR GRASS"
"ZCERE  ","VOLUNTEER CEREAL"
"ZCHEM  ","GREEN FAT HEN"
"ZCHEP  ","CLAMMY GOOSEFOOT"
"ZCHOJ  ","SKELETON WEED"
"ZCINC  ","CAMPHOR LAUREL"
"ZCIRV  ","SPEAR OR BLACK THISTLE"
"ZCOND  ","TALL FLEABANE"
"ZCONO  ","HARE'S-EAR OR TREACLE MUSTARD"
"ZCOR1  ","BITTERCRESS OR SWINECRESS"
"ZCORO  ","JUTE"
"ZCORX  ","LESSER SWINECRESS - SEEDLING"
"ZCOTS  ","COTULA - SUPPRESSION"
"ZCRACX ","THICKHEAD - SEEDLING"
"ZCRY1  ","RUBBER BUSH"
"ZCUCX  ","PADDY MELON - SEEDLING"
"ZCYND1 ","COMMON COUCH"
"ZCYPR1 ","NUTGRASS - SEASONAL SUPPRESSION"
"ZDATQ  ","THORNAPPLE - SEED"
"ZDESU  ","SILVERLEAF DESMODIUM"
"ZDIBO  ","BLUE GRASS"
"ZDICR  ","KIDNEY WEED"
"ZDIPT  ","LINCOLN WEED, SAND ROCKET OR MUSTARD"
"ZECHPS ","PATERSON'S CURSE - SUPPRESSION"
"ZEMEA  ","THREE CORNERED JACK OR DOUBLEGEE"
"ZEPV   ","PUMPKIN VINE"
"ZERA   ","LOVEGRASS"
"ZEUBG  ","BLUE GUM"
"ZEUC9  ","WHITE STRINGYBARK"
"ZEUCE  ","MORETON BAY ASH"
"ZEUCL  ","APPLE BOX"
"ZEUCM  ","SILVERLEAF IRONBARK"
